item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Brinjal,Mango,Sugar,Milk,Beetroot,,,,,,,
Tamarind,Green Chili,Carrot,Orange,Salt,Paneer,Coffee Powder,,,,,
Orange,Tamarind,Paneer,Spinach,Okra,Biscuits,Tomato,Coriander,Bell Peppers,Yogurt,,
Carrot,Orange,Bell Peppers,Okra,Cumin Seeds,Apple,Fenugreek Leaves,Chili Powder,,,,
Papaya,Beetroot,Orange,Sooji,Mango,Mustard Seeds,Coffee Powder,Apple,Lemon,Dals,Biscuits,Tomato
Curd,Milk,Banana,Coriander,Mint Leaves,Sugar,Semolina,,,,,
Wheat Flour,Cabbage,Tea Powder,Milk,Salt,Chili Powder,Curd,Brinjal,Mint Leaves,Guava,,
Tomato,Sooji,Besan,Chili Powder,Coffee Powder,Tea Powder,,,,,,
Green Chili,Onions,Milk,Lassi,Sooji,Orange,Semolina,Besan,,,,
Bell Peppers,Mint Leaves,Curd,Tea Powder,Semolina,Wheat Flour,Rice,,,,,
Sooji,Guava,Cabbage,Milk,Bell Peppers,Capsicum,Coriander,Cooking Oil,Onions,Semolina,Okra,
Milk,Coconut,Apple,Banana,Orange,Salt,Rice,Tamarind,Onions,Carrot,Chili Powder,
Cooking Oil,Apple,Salt,Okra,Besan,Cumin Seeds,Paneer,Mustard Seeds,Onions,Biscuits,,
Butter,Guava,Bread,Banana,Mint Leaves,Lemon,Garlic,,,,,
Semolina,Cumin Seeds,Banana,Wheat Flour,Mango,Rice,Garlic,,,,,
Spinach,Garlic,Paneer,Carrot,Rice,Brinjal,Sooji,Tea Powder,Cooking Oil,,,
Lemon,Tomato,Ginger,Mustard Seeds,Salt,,,,,,,
Beetroot,Papaya,Okra,Chili Powder,Rice,Besan,Cheese,Banana,Mustard Seeds,Cooking Oil,,
Biscuits,Okra,Ginger,Potato,Capsicum,Brinjal,Dals,Cauliflower,,,,
Garlic,Papaya,Mint Leaves,Chili Powder,Tomato,Turmeric Powder,Lemon,Spinach,,,,
Lassi,Mint Leaves,Coriander,Coffee Powder,Pickle,Onions,Yogurt,,,,,
Onions,Cauliflower,Lemon,Cooking Oil,Orange,Cabbage,Bell Peppers,Okra,Turmeric Powder,Spinach,Guava,Curd
Pickle,Dals,Garlic,Papaya,Potato,Coffee Powder,,,,,,
Besan,Chili Powder,Green Chili,Yogurt,Dals,Spinach,Semolina,Tamarind,Cooking Oil,Mint Leaves,,
Lemon,Bell Peppers,Capsicum,Yogurt,Tomato,Honey,Jam,Wheat Flour,Guava,Apple,Sooji,Orange
Coffee Powder,Potato,Milk,Cumin Seeds,Mango,Paneer,Sugar,Dals,Salt,Tamarind,Cauliflower,Okra
Milk,Cumin Seeds,Carrot,Potato,Mango,Sugar,,,,,,
Onions,Spinach,Mango,Cheese,Cabbage,Mustard Seeds,,,,,,
Butter,Pickle,Carrot,Cumin Seeds,Tea Powder,Lassi,Cheese,Rice,Pomegranate,Besan,,
Honey,Milk,Turmeric Powder,Spinach,Fenugreek Leaves,Lemon,Paneer,Apple,Dals,,,
Cabbage,Milk,Cheese,Cauliflower,Tamarind,Honey,Dals,Bell Peppers,Apple,Lassi,Salt,
Besan,Pickle,Onions,Mango,Coconut,Coriander,,,,,,
Paneer,Ginger,Besan,Cauliflower,Tamarind,Mustard Seeds,Brinjal,Yogurt,Sooji,Lemon,,
Cheese,Banana,Pomegranate,Besan,Guava,Apple,Garlic,Paneer,Beetroot,Cabbage,Biscuits,
Cumin Seeds,Salt,Tomato,Cooking Oil,Fenugreek Leaves,Mint Leaves,Banana,Pickle,Honey,Sugar,Mango,Bell Peppers
Apple,Sooji,Fenugreek Leaves,Beetroot,Coffee Powder,Lassi,Tomato,Rice,Tamarind,Cumin Seeds,Ginger,Onions
Carrot,Ginger,Biscuits,Semolina,Cheese,Salt,,,,,,
Sooji,Salt,Tamarind,Garlic,Milk,,,,,,,
Green Chili,Yogurt,Mango,Tea Powder,Beetroot,Honey,,,,,,
Paneer,Rice,Tea Powder,Cumin Seeds,Pomegranate,,,,,,,
Lassi,Carrot,Brinjal,Mustard Seeds,Bell Peppers,Biscuits,Apple,Pomegranate,Turmeric Powder,,,
Ginger,Orange,Beetroot,Papaya,Coriander,,,,,,,
Sugar,Sooji,Guava,Besan,Apple,Tamarind,Orange,,,,,
Onions,Mint Leaves,Rice,Chili Powder,Semolina,Apple,Fenugreek Leaves,Butter,Lemon,,,
Biscuits,Bread,Yogurt,Sugar,Mint Leaves,Tea Powder,,,,,,
Bread,Carrot,Bell Peppers,Yogurt,Lemon,Tamarind,Chili Powder,Capsicum,Brinjal,,,
Wheat Flour,Cabbage,Rice,Spinach,Fenugreek Leaves,Coriander,Green Chili,,,,,
Fenugreek Leaves,Tomato,Cabbage,Curd,Capsicum,Cumin Seeds,Lemon,Biscuits,Tamarind,Cooking Oil,,
Garlic,Jam,Tomato,Cumin Seeds,Dals,Carrot,Onions,Butter,,,,
Banana,Cabbage,Wheat Flour,Sooji,Turmeric Powder,Curd,Sugar,Tea Powder,Milk,Pickle,Brinjal,
Garlic,Cooking Oil,Tamarind,Pomegranate,Mint Leaves,Onions,Sugar,Milk,Curd,,,
Tamarind,Okra,Guava,Dals,Pickle,Cumin Seeds,Bread,,,,,
Beetroot,Rice,Biscuits,Wheat Flour,Curd,Semolina,Pickle,Ginger,Milk,Coffee Powder,Mint Leaves,Cheese
Onions,Tea Powder,Orange,Sooji,Fenugreek Leaves,Lassi,Chili Powder,Honey,Guava,Paneer,,
Carrot,Capsicum,Semolina,Pickle,Cabbage,Chili Powder,Turmeric Powder,,,,,
Butter,Cheese,Jam,Coffee Powder,Carrot,,,,,,,
Milk,Honey,Coffee Powder,Lemon,Wheat Flour,Beetroot,Sooji,Semolina,Butter,Capsicum,,
Sugar,Coffee Powder,Ginger,Orange,Brinjal,Mango,,,,,,
Cabbage,Coffee Powder,Rice,Spinach,Turmeric Powder,Mustard Seeds,Pomegranate,Capsicum,,,,
Semolina,Biscuits,Pomegranate,Honey,Carrot,Cauliflower,Green Chili,Besan,Coffee Powder,Okra,,
Semolina,Cheese,Okra,Mango,Papaya,Cumin Seeds,Tomato,Ginger,,,,
Papaya,Coconut,Green Chili,Biscuits,Spinach,Lassi,,,,,,
Lemon,Wheat Flour,Tea Powder,Mango,Carrot,Sugar,Coffee Powder,Guava,Beetroot,,,
Potato,Wheat Flour,Yogurt,Green Chili,Pomegranate,Besan,Lemon,Onions,Cooking Oil,,,
Milk,Ginger,Beetroot,Turmeric Powder,Cabbage,Pomegranate,Yogurt,Garlic,Spinach,,,
Capsicum,Milk,Rice,Besan,Jam,Lemon,,,,,,
Okra,Rice,Coconut,Lemon,Lassi,Salt,Potato,Bell Peppers,Guava,Pomegranate,Jam,
Potato,Bread,Mango,Capsicum,Cheese,Coriander,Mint Leaves,Sooji,Spinach,Coffee Powder,Biscuits,Yogurt
Bell Peppers,Chili Powder,Jam,Pickle,Besan,,,,,,,
Sugar,Cheese,Lemon,Potato,Orange,Banana,Turmeric Powder,,,,,
Semolina,Coriander,Curd,Coconut,Potato,Sugar,Dals,Biscuits,Banana,Jam,Lassi,Spinach
Apple,Chili Powder,Orange,Lassi,Tea Powder,Besan,Sugar,Ginger,Rice,Tomato,Pomegranate,
Jam,Green Chili,Milk,Coconut,Salt,Biscuits,Cumin Seeds,,,,,
Jam,Wheat Flour,Mango,Salt,Sugar,Tomato,Semolina,Guava,,,,
Brinjal,Cabbage,Salt,Pickle,Dals,Besan,Coffee Powder,Ginger,,,,
Cabbage,Jam,Rice,Potato,Ginger,Butter,Tea Powder,Cumin Seeds,Capsicum,Besan,Milk,Okra
Cheese,Cooking Oil,Salt,Cabbage,Coffee Powder,Apple,Bell Peppers,Cumin Seeds,,,,
Green Chili,Lemon,Salt,Carrot,Potato,Dals,Sugar,Beetroot,Semolina,Garlic,,
Semolina,Okra,Papaya,Chili Powder,Cauliflower,Capsicum,Bread,Lemon,,,,
Cheese,Garlic,Honey,Wheat Flour,Cumin Seeds,Cabbage,Mustard Seeds,Salt,Biscuits,,,
Okra,Green Chili,Bread,Potato,Sooji,,,,,,,
Capsicum,Papaya,Dals,Besan,Tomato,Cabbage,Salt,Brinjal,,,,
Paneer,Sugar,Jam,Beetroot,Tamarind,Pickle,Besan,Mango,Cooking Oil,Curd,Cabbage,Milk
Green Chili,Garlic,Semolina,Tamarind,Okra,Honey,,,,,,
Rice,Lassi,Wheat Flour,Pickle,Ginger,,,,,,,
Semolina,Yogurt,Garlic,Apple,Fenugreek Leaves,Biscuits,Green Chili,Tea Powder,Cauliflower,,,
Salt,Tomato,Green Chili,Sooji,Tamarind,Yogurt,Banana,,,,,
Tamarind,Butter,Cabbage,Honey,Orange,,,,,,,
Ginger,Coconut,Salt,Bread,Mustard Seeds,Brinjal,Coffee Powder,Cooking Oil,Milk,,,
Jam,Mango,Cumin Seeds,Sooji,Ginger,Guava,Mustard Seeds,Garlic,Coffee Powder,,,
Capsicum,Guava,Garlic,Cheese,Pomegranate,Coffee Powder,,,,,,
Semolina,Lassi,Garlic,Mustard Seeds,Mango,Lemon,Green Chili,Butter,Mint Leaves,Papaya,,
Beetroot,Coriander,Bread,Paneer,Semolina,,,,,,,
Brinjal,Mustard Seeds,Bell Peppers,Curd,Papaya,Capsicum,Pomegranate,Coriander,Jam,Orange,Cooking Oil,Cauliflower
Jam,Coffee Powder,Tea Powder,Pomegranate,Orange,Mint Leaves,Curd,Dals,Pickle,Sugar,Banana,
Cooking Oil,Yogurt,Mint Leaves,Paneer,Dals,Green Chili,Turmeric Powder,,,,,
Cooking Oil,Sooji,Brinjal,Cabbage,Sugar,Guava,Butter,Beetroot,Mustard Seeds,,,
Wheat Flour,Garlic,Besan,Bread,Biscuits,Mustard Seeds,Okra,Turmeric Powder,Banana,,,
Chili Powder,Cooking Oil,Potato,Cabbage,Lassi,Ginger,Salt,Mango,Cauliflower,Dals,Cheese,
Banana,Coffee Powder,Curd,Cheese,Paneer,,,,,,,
Pomegranate,Honey,Green Chili,Dals,Brinjal,Mint Leaves,Coconut,Biscuits,,,,
Chili Powder,Fenugreek Leaves,Cooking Oil,Carrot,Onions,Turmeric Powder,Tamarind,Dals,Beetroot,Papaya,Orange,
Mint Leaves,Chili Powder,Besan,Brinjal,Papaya,Butter,Dals,Guava,Coriander,Carrot,Cauliflower,
Wheat Flour,Sooji,Bell Peppers,Honey,Tamarind,,,,,,,
Fenugreek Leaves,Lemon,Apple,Semolina,Cumin Seeds,,,,,,,
Mustard Seeds,Potato,Ginger,Dals,Lemon,Coffee Powder,Rice,Salt,Coriander,,,
Pickle,Dals,Spinach,Honey,Tamarind,,,,,,,
Fenugreek Leaves,Apple,Cheese,Tea Powder,Brinjal,Guava,Capsicum,,,,,
Honey,Semolina,Cumin Seeds,Curd,Besan,Papaya,Ginger,Coconut,Lassi,Potato,Cauliflower,
Papaya,Sugar,Wheat Flour,Paneer,Tamarind,Honey,,,,,,
Biscuits,Papaya,Tea Powder,Apple,Carrot,Yogurt,Spinach,Bread,,,,
Milk,Honey,Mango,Fenugreek Leaves,Banana,Chili Powder,Coffee Powder,Onions,,,,
Yogurt,Ginger,Jam,Spinach,Cauliflower,Brinjal,Honey,Tea Powder,Potato,Capsicum,,
Banana,Pomegranate,Butter,Biscuits,Brinjal,Okra,Sugar,Mint Leaves,Curd,,,
Biscuits,Ginger,Bread,Honey,Salt,Apple,Curd,Capsicum,Butter,Yogurt,Guava,
Potato,Cheese,Salt,Sooji,Fenugreek Leaves,Apple,Coffee Powder,,,,,
Wheat Flour,Spinach,Carrot,Mint Leaves,Orange,Onions,Sugar,,,,,
Salt,Guava,Beetroot,Pomegranate,Cauliflower,Fenugreek Leaves,,,,,,
Besan,Apple,Bell Peppers,Sugar,Mint Leaves,,,,,,,
Salt,Ginger,Cumin Seeds,Biscuits,Coconut,Potato,Sugar,,,,,
Mango,Brinjal,Milk,Orange,Tomato,Garlic,Lassi,Sugar,Spinach,Paneer,Okra,
Yogurt,Lemon,Spinach,Coconut,Apple,Cabbage,Turmeric Powder,Capsicum,Coffee Powder,,,
Jam,Potato,Sooji,Lemon,Cumin Seeds,Okra,Tomato,Banana,Coconut,Mango,Papaya,
Mustard Seeds,Paneer,Apple,Tea Powder,Carrot,Papaya,Wheat Flour,Sooji,Onions,Dals,Cheese,
Brinjal,Sooji,Cabbage,Salt,Bread,Rice,Orange,Apple,Coconut,Potato,,
Coriander,Spinach,Carrot,Papaya,Okra,Coffee Powder,Milk,,,,,
Coriander,Guava,Dals,Tomato,Brinjal,Semolina,Milk,,,,,
Sooji,Bread,Mango,Rice,Lemon,Mustard Seeds,Biscuits,Coffee Powder,Semolina,Tomato,Mint Leaves,
Cabbage,Mustard Seeds,Capsicum,Pomegranate,Rice,Curd,Besan,Lassi,Honey,Paneer,Turmeric Powder,Tea Powder
Cumin Seeds,Green Chili,Honey,Lassi,Papaya,Mustard Seeds,Sooji,Capsicum,Semolina,Wheat Flour,Carrot,
Cabbage,Paneer,Okra,Bell Peppers,Lassi,Curd,Capsicum,Cooking Oil,Pickle,Guava,,
Capsicum,Besan,Pomegranate,Mustard Seeds,Ginger,Wheat Flour,Cauliflower,Coriander,Jam,Honey,Tea Powder,
Coffee Powder,Biscuits,Tea Powder,Besan,Fenugreek Leaves,Butter,Potato,Curd,Tamarind,,,
Bell Peppers,Apple,Lassi,Dals,Coriander,,,,,,,
Rice,Cabbage,Garlic,Tamarind,Apple,,,,,,,
Apple,Lassi,Spinach,Coriander,Mango,Banana,Potato,Semolina,Ginger,,,
Paneer,Honey,Okra,Coffee Powder,Wheat Flour,Chili Powder,,,,,,
Curd,Carrot,Paneer,Okra,Cheese,Banana,Apple,Jam,,,,
Fenugreek Leaves,Brinjal,Tomato,Tamarind,Jam,Salt,Tea Powder,,,,,
Orange,Yogurt,Jam,Cauliflower,Onions,Coffee Powder,Sooji,Potato,Mustard Seeds,,,
Mustard Seeds,Mango,Yogurt,Papaya,Pomegranate,,,,,,,
Yogurt,Papaya,Beetroot,Butter,Garlic,Cabbage,Lassi,Okra,,,,
Mango,Fenugreek Leaves,Pickle,Brinjal,Coconut,,,,,,,
Carrot,Besan,Bread,Cheese,Chili Powder,Banana,,,,,,
Cooking Oil,Honey,Mustard Seeds,Bell Peppers,Yogurt,Dals,Wheat Flour,Coffee Powder,,,,
Turmeric Powder,Biscuits,Banana,Brinjal,Milk,Sooji,Paneer,Coconut,Coffee Powder,Tamarind,Okra,Spinach
Cauliflower,Coriander,Biscuits,Dals,Pomegranate,Besan,Salt,Guava,Banana,Cheese,,
Cauliflower,Capsicum,Orange,Semolina,Biscuits,,,,,,,
Bread,Tamarind,Brinjal,Capsicum,Cabbage,Beetroot,Cumin Seeds,Carrot,Chili Powder,,,
Cheese,Bread,Cumin Seeds,Carrot,Cooking Oil,Lemon,,,,,,
Bell Peppers,Cheese,Salt,Chili Powder,Cooking Oil,Cumin Seeds,Lemon,Mustard Seeds,Papaya,Cauliflower,Tea Powder,
Yogurt,Sugar,Garlic,Guava,Brinjal,Cauliflower,Lemon,,,,,
Dals,Coffee Powder,Coriander,Spinach,Mango,Bread,Jam,Fenugreek Leaves,Pomegranate,Green Chili,Ginger,Cauliflower
Pomegranate,Orange,Besan,Butter,Coconut,,,,,,,
Tea Powder,Papaya,Cheese,Guava,Yogurt,Banana,Wheat Flour,Onions,Mint Leaves,Sugar,,
Green Chili,Milk,Butter,Banana,Coriander,Biscuits,Salt,Pickle,Carrot,,,
Bell Peppers,Brinjal,Guava,Cooking Oil,Pomegranate,,,,,,,
Banana,Milk,Honey,Dals,Yogurt,Curd,,,,,,
Ginger,Dals,Jam,Curd,Guava,Biscuits,Honey,Milk,Coriander,Tamarind,,
Onions,Cheese,Mango,Rice,Salt,Cooking Oil,,,,,,
Guava,Potato,Turmeric Powder,Pomegranate,Spinach,Lemon,Okra,Cabbage,,,,
Pomegranate,Curd,Coconut,Salt,Cauliflower,Turmeric Powder,Wheat Flour,,,,,
Milk,Sooji,Pomegranate,Mustard Seeds,Mint Leaves,Fenugreek Leaves,,,,,,
Lassi,Curd,Pomegranate,Mustard Seeds,Coffee Powder,Spinach,Paneer,Lemon,Ginger,Turmeric Powder,,
Milk,Yogurt,Guava,Besan,Honey,Potato,Wheat Flour,Turmeric Powder,Coconut,Sugar,,
Salt,Tea Powder,Pomegranate,Papaya,Fenugreek Leaves,Capsicum,Milk,,,,,
Bread,Lemon,Mint Leaves,Turmeric Powder,Onions,,,,,,,
Besan,Potato,Rice,Beetroot,Lassi,Sugar,Onions,Tomato,Turmeric Powder,Apple,Cooking Oil,Cabbage
Brinjal,Besan,Lemon,Guava,Cooking Oil,Capsicum,Spinach,Ginger,Dals,,,
Coconut,Biscuits,Yogurt,Semolina,Spinach,Jam,,,,,,
Cauliflower,Apple,Cumin Seeds,Dals,Jam,Tamarind,Brinjal,Guava,Fenugreek Leaves,Besan,Honey,Sooji
Capsicum,Lassi,Apple,Okra,Onions,Spinach,Banana,,,,,
Yogurt,Wheat Flour,Lemon,Jam,Bell Peppers,Besan,Coffee Powder,,,,,
Sugar,Coffee Powder,Butter,Tamarind,Sooji,Guava,Biscuits,Tea Powder,Coriander,Potato,Cheese,Besan
Banana,Pickle,Yogurt,Semolina,Orange,Okra,Mint Leaves,Papaya,Cabbage,,,
Tamarind,Sooji,Milk,Coriander,Lemon,Ginger,Semolina,Mustard Seeds,Coffee Powder,Garlic,Okra,Butter
Pomegranate,Yogurt,Capsicum,Okra,Ginger,Potato,Cabbage,Apple,Butter,,,
Sugar,Lemon,Carrot,Semolina,Salt,Paneer,Spinach,Bread,Banana,Sooji,,
Jam,Capsicum,Milk,Ginger,Chili Powder,,,,,,,
Rice,Cheese,Coffee Powder,Mustard Seeds,Okra,Cabbage,Tomato,Green Chili,Lassi,Brinjal,,
Spinach,Pomegranate,Dals,Sooji,Potato,Papaya,Wheat Flour,Jam,,,,
Tomato,Semolina,Pickle,Tea Powder,Lemon,Bread,Honey,Tamarind,Mint Leaves,Milk,Lassi,
Garlic,Apple,Salt,Papaya,Pickle,Chili Powder,Pomegranate,Lemon,Mango,Besan,Orange,
Chili Powder,Mustard Seeds,Paneer,Banana,Cabbage,Pomegranate,Potato,Coriander,Semolina,,,
Dals,Cumin Seeds,Cauliflower,Pickle,Capsicum,Honey,Sooji,Mango,Cheese,Cooking Oil,Yogurt,Apple
Cooking Oil,Honey,Sooji,Okra,Rice,,,,,,,
Brinjal,Turmeric Powder,Honey,Papaya,Fenugreek Leaves,Milk,Beetroot,Jam,Cumin Seeds,,,
Orange,Coriander,Bread,Papaya,Fenugreek Leaves,Paneer,Semolina,,,,,
Dals,Bread,Beetroot,Brinjal,Potato,Carrot,Tea Powder,Fenugreek Leaves,Mango,,,
Chili Powder,Pickle,Spinach,Green Chili,Guava,Ginger,Salt,Papaya,Bell Peppers,Yogurt,,
Banana,Mango,Tamarind,Guava,Carrot,Okra,Jam,Pickle,Orange,,,
Paneer,Potato,Tomato,Jam,Chili Powder,Biscuits,Lemon,,,,,
Garlic,Mustard Seeds,Jam,Coconut,Paneer,Bread,Wheat Flour,,,,,
Honey,Lassi,Wheat Flour,Butter,Carrot,Semolina,Salt,,,,,
Sugar,Apple,Salt,Honey,Turmeric Powder,Ginger,Capsicum,Jam,Pomegranate,Spinach,,
Jam,Mango,Sooji,Okra,Tomato,Mint Leaves,Beetroot,Ginger,Sugar,,,
Mint Leaves,Sugar,Guava,Okra,Ginger,Coriander,Curd,Honey,Bread,Dals,Beetroot,
Lemon,Biscuits,Coffee Powder,Chili Powder,Pickle,,,,,,,
Tamarind,Potato,Cheese,Milk,Rice,Turmeric Powder,Mustard Seeds,Paneer,Cabbage,Honey,Green Chili,
Fenugreek Leaves,Rice,Chili Powder,Okra,Carrot,Salt,Tomato,Yogurt,,,,
Curd,Carrot,Semolina,Green Chili,Spinach,,,,,,,
Mint Leaves,Banana,Chili Powder,Bell Peppers,Tomato,Mango,Capsicum,Sooji,Pickle,,,
Salt,Sooji,Tomato,Besan,Cauliflower,Pomegranate,Fenugreek Leaves,Bell Peppers,Milk,Potato,Mango,Rice
Pomegranate,Papaya,Cumin Seeds,Jam,Orange,Carrot,Semolina,Brinjal,,,,
Honey,Sugar,Pomegranate,Cauliflower,Biscuits,Coconut,Butter,Lassi,,,,
Coconut,Jam,Banana,Tea Powder,Biscuits,,,,,,,
Carrot,Semolina,Rice,Bell Peppers,Mint Leaves,Curd,Sooji,Mango,,,,
Pickle,Paneer,Semolina,Mustard Seeds,Guava,Mint Leaves,Tomato,Bell Peppers,Milk,Brinjal,,
Mango,Biscuits,Ginger,Fenugreek Leaves,Lassi,Sooji,Cauliflower,Beetroot,Brinjal,,,
Pomegranate,Okra,Milk,Mint Leaves,Cumin Seeds,Capsicum,Chili Powder,,,,,
Tea Powder,Garlic,Brinjal,Mint Leaves,Besan,Butter,Yogurt,Curd,Salt,Coconut,Fenugreek Leaves,
Guava,Ginger,Carrot,Beetroot,Paneer,Jam,Honey,Cauliflower,Banana,,,
Sugar,Curd,Beetroot,Mustard Seeds,Cheese,Wheat Flour,,,,,,
Besan,Cumin Seeds,Tamarind,Tea Powder,Yogurt,Milk,Okra,Cooking Oil,Wheat Flour,Lemon,,
Tea Powder,Honey,Coconut,Milk,Mustard Seeds,Apple,Green Chili,Orange,,,,
Turmeric Powder,Apple,Papaya,Curd,Salt,Jam,Bell Peppers,Wheat Flour,,,,
Capsicum,Garlic,Carrot,Biscuits,Orange,Green Chili,Cauliflower,Okra,Cabbage,Potato,,
Coriander,Wheat Flour,Ginger,Pickle,Cooking Oil,Biscuits,Coffee Powder,Guava,Lemon,Butter,Banana,
Spinach,Lassi,Honey,Pomegranate,Rice,Wheat Flour,Sooji,Dals,Ginger,Apple,,
Mint Leaves,Salt,Tea Powder,Tomato,Pomegranate,Coriander,Green Chili,Cheese,Carrot,,,
Sooji,Milk,Honey,Salt,Carrot,Green Chili,Dals,Coffee Powder,Banana,Semolina,Curd,
Bell Peppers,Garlic,Jam,Cabbage,Mustard Seeds,Besan,Mint Leaves,,,,,
Chili Powder,Besan,Spinach,Tea Powder,Brinjal,Sugar,,,,,,
Cauliflower,Okra,Curd,Rice,Jam,Dals,Tea Powder,Lemon,,,,
Brinjal,Green Chili,Fenugreek Leaves,Potato,Bread,Tamarind,Coffee Powder,Cumin Seeds,Tea Powder,Sooji,,
Mint Leaves,Dals,Guava,Bread,Wheat Flour,Yogurt,Papaya,Salt,Carrot,Apple,Coffee Powder,
Tomato,Semolina,Cumin Seeds,Cauliflower,Honey,Salt,Ginger,Bread,Cabbage,Apple,Yogurt,Sugar
Cabbage,Milk,Carrot,Beetroot,Sooji,Papaya,Mustard Seeds,Coffee Powder,Onions,,,
Biscuits,Tea Powder,Ginger,Tamarind,Salt,Spinach,Okra,,,,,
Apple,Capsicum,Bell Peppers,Mustard Seeds,Mint Leaves,Paneer,Salt,Turmeric Powder,Sugar,,,
Papaya,Pickle,Ginger,Banana,Bread,,,,,,,
Pomegranate,Yogurt,Carrot,Coriander,Cooking Oil,Apple,Bread,Garlic,Sooji,Capsicum,Lassi,
Mango,Sooji,Wheat Flour,Cooking Oil,Papaya,Yogurt,Cumin Seeds,Curd,Paneer,Coffee Powder,Apple,Bell Peppers
Curd,Mustard Seeds,Onions,Coconut,Cauliflower,Guava,Wheat Flour,Salt,Chili Powder,Potato,Cumin Seeds,
Cabbage,Okra,Banana,Spinach,Tomato,Salt,Brinjal,Coconut,,,,
Tea Powder,Butter,Sugar,Capsicum,Tamarind,Cooking Oil,,,,,,
Bread,Butter,Besan,Garlic,Mango,,,,,,,
Paneer,Orange,Jam,Rice,Cabbage,,,,,,,
Mint Leaves,Tomato,Guava,Green Chili,Tamarind,Turmeric Powder,Beetroot,Ginger,Wheat Flour,Cauliflower,Mango,
Potato,Fenugreek Leaves,Onions,Cumin Seeds,Honey,Okra,Sugar,,,,,
Brinjal,Bread,Biscuits,Mint Leaves,Carrot,Milk,Beetroot,Pickle,Sooji,,,
Apple,Green Chili,Butter,Besan,Banana,Lemon,Coffee Powder,Cabbage,,,,
Tomato,Ginger,Coriander,Apple,Green Chili,Banana,Mango,Cooking Oil,Potato,Papaya,Butter,
Capsicum,Salt,Green Chili,Carrot,Tamarind,,,,,,,
Coriander,Chili Powder,Okra,Bell Peppers,Sugar,Cabbage,Papaya,Yogurt,Fenugreek Leaves,Banana,Sooji,
Pomegranate,Jam,Coriander,Lassi,Orange,Cooking Oil,Mint Leaves,Rice,Paneer,Sooji,Tea Powder,
Mango,Cabbage,Pomegranate,Lemon,Okra,Spinach,Pickle,Banana,,,,
Jam,Coffee Powder,Mustard Seeds,Wheat Flour,Tamarind,Potato,Garlic,Cumin Seeds,,,,
Coffee Powder,Capsicum,Tea Powder,Coriander,Milk,,,,,,,
Carrot,Bread,Coffee Powder,Orange,Mint Leaves,Rice,Garlic,Curd,Jam,Apple,Brinjal,Capsicum
Mustard Seeds,Ginger,Turmeric Powder,Fenugreek Leaves,Besan,Capsicum,Wheat Flour,Garlic,,,,
Bell Peppers,Spinach,Milk,Banana,Cooking Oil,Cabbage,Brinjal,Mint Leaves,Coriander,Wheat Flour,Coffee Powder,
Sooji,Okra,Jam,Biscuits,Wheat Flour,Mango,Cheese,Ginger,Cooking Oil,Banana,Potato,Carrot
Rice,Tomato,Bread,Coffee Powder,Orange,,,,,,,
Mango,Pomegranate,Butter,Pickle,Papaya,Mint Leaves,Mustard Seeds,Tea Powder,Potato,,,
Lemon,Coffee Powder,Jam,Coconut,Bread,Sooji,Banana,Cabbage,Tea Powder,Guava,Capsicum,Onions
Tomato,Sooji,Pickle,Cooking Oil,Potato,Guava,Cabbage,Lemon,Biscuits,Honey,,
Apple,Cumin Seeds,Butter,Green Chili,Coriander,Jam,Tea Powder,Tamarind,,,,
Pomegranate,Beetroot,Bread,Coconut,Papaya,Okra,,,,,,
Pickle,Coffee Powder,Rice,Semolina,Cooking Oil,Spinach,Beetroot,Paneer,,,,
Sooji,Carrot,Spinach,Garlic,Pickle,,,,,,,
Tamarind,Jam,Apple,Okra,Pickle,Milk,Spinach,Capsicum,,,,
Cumin Seeds,Fenugreek Leaves,Apple,Yogurt,Sugar,Wheat Flour,Banana,Pomegranate,Capsicum,Papaya,Dals,Honey
Coffee Powder,Capsicum,Garlic,Cauliflower,Rice,Pickle,Lemon,,,,,
Sugar,Biscuits,Paneer,Onions,Guava,,,,,,,
Potato,Lassi,Coconut,Mango,Onions,,,,,,,
Salt,Tamarind,Lassi,Turmeric Powder,Jam,Brinjal,Besan,Cumin Seeds,Coconut,,,
Cheese,Salt,Bread,Dals,Ginger,Cumin Seeds,Mango,Carrot,Coffee Powder,Pickle,Cauliflower,
Coconut,Mango,Curd,Rice,Semolina,Honey,Garlic,Orange,Bell Peppers,Mustard Seeds,Spinach,
Cauliflower,Cooking Oil,Spinach,Dals,Bread,Curd,Cheese,Papaya,Mango,,,
Brinjal,Lassi,Tamarind,Pomegranate,Curd,Butter,Cumin Seeds,Orange,Yogurt,Papaya,Bell Peppers,Turmeric Powder
Turmeric Powder,Fenugreek Leaves,Butter,Cabbage,Chili Powder,,,,,,,
Pomegranate,Biscuits,Potato,Semolina,Lassi,Onions,Apple,Yogurt,Cauliflower,,,
Cumin Seeds,Guava,Apple,Lassi,Biscuits,Mustard Seeds,Pomegranate,Tamarind,,,,
Paneer,Milk,Cheese,Papaya,Cumin Seeds,Curd,Potato,Turmeric Powder,Tamarind,,,
Honey,Okra,Mango,Carrot,Cooking Oil,Lemon,Cheese,Potato,Apple,,,
Orange,Paneer,Milk,Cumin Seeds,Sugar,Potato,Biscuits,Cheese,Bread,Mint Leaves,,
